transaction_id,transaction_date,sender_account_id,sender_name,sender_country,receiver_account_id,receiver_name,receiver_country,amount,currency,channel,transaction_type,source_system
fb9c3b49-0b76-4554-aba4-d4528b1818e0,2026-07-26 22:24:11,ACC29160749,Maria Lopez,PL,ACC98969812,Ivan Muller,NL,3907.05,GBP,WIRE,DEPOSIT,CORE_BANKING
1bf39c55-36d2-4ba7-9c78-d7f2128d12e5,2026-07-26 06:30:51,ACC35072772,Elena Kowalski,US,ACC33057873,Piotr Schmidt,PL,1620.49,EUR,CASH,TRANSFER,CORE_BANKING
1c2e31c5-6876-4882-b7b9-8540ac0290e9,2026-07-26 00:37:32,ACC36224131,Nina Novak,FR,ACC23624482,Piotr Petrov,CY,8485.0,EUR,CASH,DEPOSIT,CARDS
bd793819-ed7e-498a-a389-b98d0aac1b67,2026-07-26 11:18:48,ACC68494269,Sofia Lopez,DE,ACC36777331,Piotr Petrov,CH,1836.2,USD,MOBILE,WITHDRAWAL,CORE_BANKING
76cf6809-4b8a-4e5c-be6e-a218f6f59d6a,2026-07-26 23:34:10,ACC16089390,Marek Muller,DE,ACC85776544,John Petrov,CY,9424.03,USD,CARD,DEPOSIT,CARDS
3cae4174-9a12-4354-ac5b-246c1d1a1521,2026-07-26 14:58:20,ACC69317732,Lukas Silva,GB,ACC17332766,Piotr Nowak,IR,4121.65,USD,MOBILE,DEPOSIT,CORE_BANKING
0acc14c9-20dd-4447-9546-4c24bc30ddfc,2026-07-26 02:26:09,ACC73981624,Nina Dubois,DE,ACC41561623,Ivan Nowak,NL,10006.92,PLN,CASH,TRANSFER,CARDS
a9213710-0b54-46f7-9d69-b1aa18f8ff9a,2026-07-26 10:05:53,ACC81836366,Piotr Petrov,FR,ACC66809516,Elena Kowalski,RU,1146.2,EUR,WIRE,TRANSFER,CARDS
23d6386e-c457-4289-a03a-e048961cf865,2026-07-26 19:19:42,ACC31307037,Anna Petrov,RU,ACC95135998,Nina Muller,IR,1767.58,USD,CASH,TRANSFER,CARDS
e7329eda-a6a2-4ac5-95c7-11cf3aae8a32,2026-07-26 16:33:51,ACC89319341,Ivan Dubois,CY,ACC71261852,John Dubois,US,10124.21,EUR,CASH,DEPOSIT,MOBILE_APP
793496aa-800a-4a34-ad03-64e8b8f03b6b,2026-07-26 09:52:14,ACC92557389,Sofia Lopez,RU,ACC32272851,Marek Dubois,CY,5495.59,USD,MOBILE,DEPOSIT,MOBILE_APP
3d6c98c5-70e1-4ee1-945e-371e61cbd527,2026-07-26 01:31:28.255611,ACC48759195,Piotr Schmidt,DE,ACC26299519,John Muller,FR,9784.0,EUR,WIRE,TRANSFER,CORE_BANKING
