transaction_id,transaction_date,sender_account_id,sender_name,sender_country,receiver_account_id,receiver_name,receiver_country,amount,currency,channel,transaction_type,source_system
77bc68f8-6dd7-4ed3-bb6f-7d2ea4923f04,2026-07-25 04:19:31,ACC75582257,Piotr Lopez,DE,ACC97616925,Lukas Novak,LU,2544.16,PLN,MOBILE,DEPOSIT,MOBILE_APP
10f51ed3-e12a-4610-9786-25994aeb10ca,2026-07-25 11:47:37,ACC25278911,Sofia Rossi,CH,ACC86359356,Nina Kowalski,DE,8058.5,USD,MOBILE,WITHDRAWAL,MOBILE_APP
5e484aca-bb97-4c98-bb6a-a9ebb46a2675,2026-07-25 02:03:18,ACC43234179,Elena Dubois,AE,ACC21400686,Anna Dubois,FR,6949.8,GBP,CARD,TRANSFER,MOBILE_APP
2eafe407-9407-4f7f-8572-77ea7d86946e,2026-07-25 12:56:47,ACC34109916,John Novak,CY,ACC97254650,Sofia Lopez,CH,10229.18,USD,CASH,TRANSFER,CORE_BANKING
04c82f6e-ba11-41c0-b87b-b2a163e383c5,2026-07-25 13:53:13,ACC21171324,Piotr Lopez,CY,ACC30508295,Ivan Petrov,GB,4499.12,PLN,CASH,WITHDRAWAL,CARDS
c0dd66c9-19a0-4f99-9fd6-7641290424da,2026-07-25 13:34:25,ACC75260270,Ivan Schmidt,FR,ACC73104323,Ivan Schmidt,GB,3637.97,PLN,MOBILE,DEPOSIT,MOBILE_APP
afdfb722-5bea-4abd-8961-20547315ae7a,2026-07-25 08:27:02,ACC88874216,Sofia Lopez,IR,ACC98175428,Maria Petrov,GB,5340.02,PLN,CASH,DEPOSIT,MOBILE_APP
9d01919c-f192-4e5b-80f0-283ca37ba3e3,2026-07-25 09:00:57,ACC79316990,Nina Muller,US,ACC70976401,Anna Petrov,IR,1122.78,PLN,CASH,TRANSFER,CORE_BANKING
26d24115-0745-4de0-8e16-607930b34afc,2026-07-25 20:35:35,ACC68558918,Piotr Rossi,CY,ACC75581713,Sofia Kowalski,RU,1721.56,PLN,CASH,DEPOSIT,CORE_BANKING
36c4ce9d-87b9-4c86-bfd7-e4a94a84baab,2026-07-25 22:00:42,ACC76861495,Elena Schmidt,GB,ACC65141717,Ivan Lopez,US,97.87,EUR,WIRE,DEPOSIT,CARDS
39a65d59-688f-472e-82ff-e350a7fc04c7,2026-07-25 02:33:08,ACC10443906,Lukas Nowak,FR,ACC86134185,Ivan Rossi,US,5680.55,GBP,CASH,TRANSFER,MOBILE_APP
23d42427-3c73-4463-9dc4-a00864ee3ba1,2026-07-25 11:05:17,ACC68348074,Sofia Novak,AE,ACC11089747,Nina Schmidt,CH,9645.9,USD,MOBILE,TRANSFER,CARDS
37a31617-590e-4e32-87c9-89545c133e22,2026-07-25 19:23:44,ACC68213514,Nina Kowalski,CY,ACC36930522,Sofia Nowak,DE,8497.62,USD,CARD,DEPOSIT,MOBILE_APP
c43e38d5-88ac-4a10-a27d-60c14e884118,2026-07-25 23:33:33,ACC81756326,Sofia Novak,LU,ACC48917593,Elena Petrov,CY,970.19,EUR,CASH,DEPOSIT,CORE_BANKING
c98fe76b-68e1-4fc8-8161-b61e7a551a91,2026-07-25 13:57:04,ACC76719940,Ivan Schmidt,LU,ACC81467508,Ivan Muller,CH,4407.55,EUR,CASH,DEPOSIT,MOBILE_APP
b3fa84b8-14a1-4b0d-9ce6-90f1bedd9f91,2026-07-25 07:39:35,ACC31505334,Maria Rossi,RU,ACC64531161,John Dubois,FR,9026.69,PLN,CASH,DEPOSIT,CARDS
2fc937c4-34c6-4f0b-ab4d-3b9f880740e1,2026-07-25 13:30:14,ACC85102924,John Lopez,DE,ACC44935754,Marek Schmidt,LU,1405.86,GBP,CASH,TRANSFER,CORE_BANKING
6901b230-31a3-461e-8dc5-382825fb45de,2026-07-25 05:17:58,ACC47228730,Nina Rossi,US,ACC31549640,Ivan Lopez,NL,8884.63,EUR,WIRE,DEPOSIT,CORE_BANKING
90ed39fc-f4a9-4168-825a-6b2530c579bc,2026-07-25 23:21:18,ACC87115770,John Schmidt,GB,ACC66278204,Lukas Schmidt,GB,1601.98,GBP,MOBILE,TRANSFER,CARDS
edba7162-de2e-4a80-9c43-8f979057d3a4,2026-07-25 03:51:19,ACC91826622,Anna Schmidt,PL,ACC78089422,Anna Petrov,RU,8211.72,EUR,CARD,WITHDRAWAL,CORE_BANKING
b226a7ea-6ac2-4d95-82dc-a5ebbcaf0827,2026-07-25 15:13:17,ACC16382911,Marek Kowalski,PL,ACC16996855,Sofia Muller,GB,2608.23,PLN,MOBILE,DEPOSIT,CORE_BANKING
9849ab5f-4d66-487a-8b9a-9cc14101f7f9,2026-07-25 02:07:49,ACC71880273,Marek Rossi,DE,ACC17098551,Piotr Rossi,CH,1551.52,GBP,WIRE,WITHDRAWAL,CARDS
6881ec45-7a41-464d-b9e9-43c73ef7d6dc,2026-07-25 01:53:48,ACC34661114,Maria Petrov,PL,ACC63775923,Elena Dubois,US,6741.59,EUR,WIRE,TRANSFER,CORE_BANKING
d8497e43-d933-42dc-bc60-c0cc366de6f0,2026-07-25 01:59:12,ACC14813349,Maria Dubois,DE,ACC72697508,Lukas Novak,LU,2428.94,EUR,CASH,WITHDRAWAL,MOBILE_APP
e55c8c88-e90e-47cd-a30c-62ded1cf5fcb,2026-07-25 15:25:52,ACC65592149,Marek Lopez,AE,ACC21553190,Marek Muller,GB,7655.79,PLN,MOBILE,TRANSFER,MOBILE_APP
6c625fae-1431-44db-8b19-dd57ebdc567b,2026-07-25 00:14:23,ACC73574016,Sofia Dubois,CY,ACC32986369,Anna Dubois,US,2590.91,PLN,MOBILE,DEPOSIT,MOBILE_APP
7c68c5c7-a9e7-43d7-adfb-becd3845e94d,2026-07-25 01:43:22,ACC48169110,Maria Petrov,AE,ACC31580852,Ivan Dubois,DE,1574.59,USD,CARD,TRANSFER,CORE_BANKING
65f9c4d4-0014-4b64-b6bf-245c6c6b27a6,2026-07-25 12:53:05,ACC56938851,Marek Silva,US,ACC11189670,Anna Silva,LU,1143.08,USD,WIRE,DEPOSIT,MOBILE_APP
18b75379-30e0-40d6-90db-802a141fc61a,2026-07-25 13:36:45,ACC74867032,Maria Nowak,GB,ACC88005556,Lukas Lopez,RU,5526.99,EUR,CARD,TRANSFER,CORE_BANKING
6a6be170-f6c4-49d0-a28c-78eba2deab70,2026-07-25 02:00:13,ACC36192555,Nina Schmidt,NL,ACC47302753,Elena Kowalski,FR,6393.42,PLN,WIRE,DEPOSIT,CARDS
9490aae3-2da0-4d87-b49a-df4188b6affb,2026-07-25 05:11:42,ACC63584671,Nina Muller,CY,ACC54143064,Nina Nowak,LU,4691.27,PLN,WIRE,DEPOSIT,CORE_BANKING
76f51933-53a8-42b2-ac89-c81c1019729d,2026-07-25 04:02:24,ACC38217583,Piotr Nowak,NL,ACC59612328,Sofia Petrov,CY,3566.26,PLN,WIRE,TRANSFER,CORE_BANKING
a6e7244a-9eab-4941-83b0-7ef050338b21,2026-07-25 22:55:17,ACC26153687,John Lopez,RU,ACC35559565,Elena Nowak,FR,7802.32,EUR,MOBILE,WITHDRAWAL,MOBILE_APP
5f1ed49b-b565-475d-bfd9-269f7beb8c8c,2026-07-25 05:20:13,ACC62425387,Maria Nowak,FR,ACC25188619,Nina Silva,IR,3376.28,GBP,CARD,TRANSFER,CARDS
809db9a4-e2e3-4deb-8e66-8e0625e708bf,2026-07-25 20:36:49,ACC35526992,Lukas Nowak,RU,ACC81466893,Ivan Novak,DE,657.11,PLN,CASH,DEPOSIT,CARDS
